frame,x,y,id
1779,1320.26,1190.13,15
1779,850.56,1195.54,38
1779,385.32,1299.36,45
1779,1292.35,1299.06,16
1779,811.15,1380.16,25
1779,651.27,1441.76,50
1779,936.85,1513.04,21
1779,1426.92,1586.06,27
1779,827.66,1584.02,51
1779,1722.61,1632.72,23
1779,756.44,1728.61,47
1779,991.25,1730.2,39
1779,1014.83,1751.45,29
1779,754.14,2007.23,46
1780,1206.85,398.95,2
1780,1307.9,408.13,34
1780,751.06,500.55,52
1780,769.69,518.79,53
1780,1087.16,624.49,33
1780,1449.0,711.96,41
1780,718.01,740.22,3
1780,1126.31,810.99,7
1780,1530.98,819.86,54
1780,1405.31,840.49,5
1780,1029.16,844.53,8
1780,320.19,893.91,31
1780,1241.83,903.36,42
1780,1002.35,960.89,12
1780,667.82,997.36,35
1780,1433.01,1014.88,48
1780,793.26,1014.56,10
1780,519.51,1107.77,19
1780,1391.76,1150.71,13
1780,1320.11,1190.58,15
1780,851.22,1194.59,38
1780,385.54,1299.23,45
1780,1292.59,1298.74,16
1780,811.18,1379.69,25
1780,650.68,1442.16,50
1780,935.96,1513.33,21
1780,1427.46,1585.71,27
1780,826.83,1583.91,51
1780,1722.97,1632.57,23
1780,756.83,1729.06,47
1780,992.48,1730.33,39
1780,1015.67,1751.44,29
1780,755.42,2007.48,46
1781,1206.71,398.93,2
1781,1307.92,407.54,34
1781,751.44,500.25,52
1781,769.87,518.36,53
1781,1087.21,623.62,33
1781,1449.03,712.63,41
1781,718.37,740.05,3
1781,1127.61,811.4,7
1781,1530.85,819.71,54
1781,1406.63,840.38,5
1781,1028.77,844.98,8
1781,319.96,893.79,31
1781,1242.02,903.13,42
1781,1002.25,960.75,12
1781,667.54,997.28,35
1781,1432.72,1015.24,48
1781,793.66,1014.62,10
1781,519.6,1107.73,19
1781,1391.88,1150.69,13
1781,1319.48,1189.96,15
1781,850.64,1195.2,38
1781,385.54,1299.27,45
1781,1292.56,1298.83,16
1781,810.83,1379.56,25
1781,651.04,1441.79,50
1781,934.63,1514.11,21
1781,825.91,1583.82,51
1781,1427.12,1586.13,27
1781,1722.5,1632.71,23
1781,756.94,1728.69,47
1781,992.2,1730.66,39
1781,1015.06,1751.51,29
1781,756.94,2007.48,46
1782,1206.74,398.89,2
1782,1308.1,408.01,34
1782,751.37,500.3,52
1782,769.15,518.95,53
1782,1087.44,624.48,33
1782,1448.96,711.86,41
1782,717.95,740.3,3
1782,1127.95,811.51,7
1782,1530.74,819.34,54
1782,1407.13,840.11,5
1782,1028.55,845.72,8
1782,319.76,893.84,31
1782,1243.5,902.25,42
1782,1002.09,960.71,12
1782,667.76,997.31,35
1782,1432.47,1015.43,48
1782,794.54,1014.79,10
1782,519.71,1107.46,19
1782,1391.84,1150.97,13
1782,1320.06,1190.36,15
1782,851.16,1194.54,38
1782,385.7,1299.2,45
1782,1292.5,1298.99,16
1782,811.18,1379.14,25
1782,650.47,1442.0,50
1782,933.95,1514.53,21
1782,1427.51,1585.86,27
1782,825.8,1584.12,51
1782,1722.88,1632.38,23
1782,756.66,1729.13,47
1782,993.48,1730.99,39
1782,1015.13,1751.65,29
1782,757.07,2007.69,46
1783,1206.53,398.73,2
1783,1308.22,408.4,34
1783,751.61,500.43,52
1783,769.08,518.78,53
1783,1087.48,624.18,33
1783,1449.05,712.41,41
1783,718.44,740.15,3
1783,1127.58,811.33,7
1783,1530.64,819.13,54
1783,1407.48,839.72,5
1783,1028.07,846.15,8
1783,319.97,893.83,31
1783,1243.89,901.93,42
1783,1001.32,960.86,12
1783,667.46,996.82,35
1783,1432.84,1014.66,48
1783,794.48,1014.97,10
1783,519.4,1107.65,19
1783,1391.87,1150.88,13
1783,1320.2,1190.38,15
1783,851.01,1195.17,38
1783,385.82,1299.14,45
1783,1292.16,1299.37,16
1783,811.01,1379.0,25
1783,650.06,1442.24,50
1783,933.43,1514.79,21
1783,1427.62,1585.68,27
1783,824.71,1584.2,51
1783,1722.37,1632.49,23
1783,757.22,1728.75,47
1783,993.93,1731.13,39
1783,1015.15,1751.82,29
1783,757.64,2007.6,46
1784,1206.22,398.45,2
1784,1308.02,408.45,34
1784,750.66,500.84,52
1784,769.07,519.03,53
1784,1087.35,624.44,33
1784,1449.13,712.52,41
1784,718.17,740.36,3
1784,1127.89,811.6,7
1784,1530.01,818.83,54
1784,1407.02,839.89,5
1784,1027.96,846.68,8
1784,319.97,893.79,31
1784,1244.72,901.38,42
1784,1000.66,960.79,12
1784,667.68,997.12,35
1784,1432.87,1015.26,48
1784,795.75,1015.26,10
1784,519.66,1107.03,19
1784,1391.9,1150.8,13
1784,1320.33,1190.22,15
1784,851.28,1194.41,38
1784,385.51,1299.38,45
1784,1292.15,1299.65,16
1784,811.17,1378.69,25
1784,649.95,1442.45,50
1784,932.24,1515.19,21
1784,1427.22,1585.62,27
1784,823.58,1584.01,51
1784,1722.83,1632.93,23
1784,756.55,1728.99,47
1784,994.88,1731.5,39
1784,1015.91,1751.59,29
1784,757.92,2007.53,46
1785,1205.8,398.26,2
1785,1308.1,408.3,34
1785,749.96,500.81,52
1785,768.58,519.12,53
1785,1087.31,624.25,33
1785,1448.85,711.77,41
1785,718.62,740.24,3
1785,1128.78,811.88,7
1785,1529.4,818.42,54
1785,1407.03,839.92,5
1785,1027.16,847.38,8
1785,319.49,893.58,31
1785,1245.7,900.96,42
1785,1000.22,960.82,12
1785,667.27,996.75,35
1785,1432.43,1015.46,48
1785,795.67,1014.99,10
1785,519.68,1107.37,19
1785,1391.79,1150.56,13
1785,1320.24,1190.33,15
1785,851.01,1194.67,38
1785,385.79,1299.21,45
1785,1291.32,1300.37,16
1785,811.19,1377.99,25
1785,650.32,1442.35,50
1785,931.34,1515.54,21
1785,822.35,1583.95,51
1785,1426.99,1585.92,27
1785,1722.55,1632.52,23
1785,756.45,1728.74,47
1785,995.52,1731.93,39
1785,1016.03,1751.5,29
1785,758.46,2007.58,46
1786,1205.07,397.26,2
1786,1308.12,408.69,34
1786,749.36,501.75,52
1786,768.18,519.47,53
1786,1087.17,624.08,33
1786,1448.79,712.28,41
1786,719.27,740.32,3
1786,1129.23,812.22,7
1786,1529.31,818.34,54
1786,1406.26,840.14,5
1786,1026.62,847.84,8
1786,319.96,893.69,31
1786,1246.25,900.34,42
1786,1000.28,960.95,12
1786,667.45,996.95,35
1786,1432.32,1015.59,48
1786,796.18,1014.94,10
1786,519.52,1107.46,19
1786,1391.78,1150.84,13
1786,1320.12,1190.09,15
1786,851.09,1194.24,38
1786,385.58,1299.06,45
1786,1291.01,1300.68,16
1786,811.4,1378.49,25
1786,649.11,1442.54,50
1786,930.0,1516.32,21
1786,1427.52,1585.45,27
1786,821.36,1583.93,51
1786,1722.51,1632.45,23
1786,755.34,1729.53,47
1786,996.16,1731.81,39
1786,1015.17,1751.5,29
1786,759.36,2007.72,46
1787,1205.17,397.03,2
1787,1308.2,409.13,34
1787,749.65,501.44,52
1787,767.65,519.48,53
1787,1087.33,624.32,33
1787,1448.54,712.27,41
1787,718.47,740.17,3
1787,1129.11,811.99,7
1787,1529.66,818.67,54
1787,1406.06,840.31,5
1787,1026.43,848.52,8
1787,319.38,893.43,31
1787,1247.71,900.24,42
1787,1000.4,960.89,12
1787,666.67,996.76,35
1787,1431.79,1015.98,48
1787,796.16,1015.21,10
1787,519.87,1106.22,19
1787,1391.9,1150.74,13
1787,1320.41,1190.46,15
1787,851.45,1193.89,38
1787,385.87,1298.99,45
1787,1291.2,1300.16,16
1787,811.34,1377.81,25
1787,648.22,1443.16,50
1787,929.74,1516.78,21
1787,1427.43,1585.56,27
1787,820.29,1583.96,51
1787,1722.54,1632.91,23
1787,755.65,1729.26,47
1787,996.78,1732.06,39
1787,1016.24,1751.58,29
1787,759.76,2007.77,46
1788,1204.83,396.94,2
1788,1308.24,408.87,34
1788,748.89,501.81,52
1788,767.97,519.17,53
1788,1087.51,623.82,33
1788,1448.93,711.95,41
1788,718.94,740.28,3
1788,1129.2,812.03,7
1788,1530.04,818.8,54
1788,1406.22,840.38,5
1788,1026.22,849.14,8
1788,319.35,893.53,31
1788,1248.39,899.98,42
1788,1000.48,961.07,12
1788,666.85,996.46,35
1788,1432.17,1016.08,48
1788,795.78,1015.21,10
1788,519.95,1106.35,19
1788,1392.57,1151.09,13
1788,1320.67,1190.7,15
1788,851.58,1193.85,38
1788,385.72,1298.95,45
1788,1290.75,1300.91,16
1788,811.32,1378.17,25
